Saat,Tur,HedefTus,BasilanTus,DogruMu,ReaksiyonSuresi,DogrulukOrani,OrtReaksiyon
01:57,1,SAG,SAG,1,1.409,100.0,1.409
01:57,2,SOL,YUKARI,0,0.631,50.0,1.409
01:57,3,SAG,SAG,1,0.971,66.7,1.190
01:57,4,YUKARI,YUKARI,1,0.701,75.0,1.027
01:57,5,SAG,SAG,1,0.832,80.0,0.978
01:57,6,SOL,SOL,1,0.667,83.3,0.916
01:57,7,ASAGI,ASAGI,1,0.720,85.7,0.883
01:57,8,SAG,SAG,1,0.615,87.5,0.845
01:57,9,SOL,SOL,1,0.671,88.9,0.823
01:57,10,SAG,YUKARI,0,0.394,80.0,0.823
01:57,11,SOL,SOL,1,1.106,81.8,0.855
01:57,12,YUKARI,YUKARI,1,0.526,83.3,0.822
01:57,13,SOL,SOL,1,0.623,84.6,0.804
01:57,14,SAG,SAG,1,0.749,85.7,0.799
01:57,15,YUKARI,YUKARI,1,0.542,86.7,0.779
01:57,16,SOL,SOL,1,0.589,87.5,0.766
01:57,17,ASAGI,ASAGI,1,0.738,88.2,0.764
01:57,18,SOL,SOL,1,0.668,88.9,0.758
01:57,19,SAG,SAG,1,0.767,89.5,0.759
01:57,20,ASAGI,ASAGI,1,1.217,90.0,0.784
01:59,1,SOL,SOL,1,1.095,100.0,1.095
01:59,2,SAG,SAG,1,0.610,100.0,0.853
01:59,3,SOL,SOL,1,0.540,100.0,0.748
01:59,4,YUKARI,YUKARI,1,0.477,100.0,0.680
01:59,5,SAG,SAG,1,0.477,100.0,0.640
01:59,6,ASAGI,ASAGI,1,0.573,100.0,0.629
01:59,7,SAG,SAG,1,0.575,100.0,0.621
01:59,8,YUKARI,YUKARI,1,0.447,100.0,0.599
01:59,9,SOL,SOL,1,0.576,100.0,0.597
01:59,10,YUKARI,YUKARI,1,0.738,100.0,0.611
01:59,11,SOL,SOL,1,0.518,100.0,0.602
01:59,12,SAG,SAG,1,0.588,100.0,0.601
01:59,13,ASAGI,ASAGI,1,0.641,100.0,0.604
01:59,14,SOL,SOL,1,0.844,100.0,0.621
01:59,15,SAG,SAG,1,0.683,100.0,0.625
01:59,16,ASAGI,ASAGI,1,1.037,100.0,0.651
01:59,17,SAG,SAG,1,0.604,100.0,0.648
01:59,18,YUKARI,YUKARI,1,0.485,100.0,0.639
01:59,19,SAG,SAG,1,0.653,100.0,0.640
01:59,20,SOL,SOL,1,0.641,100.0,0.640
18:10,1,SAG,SAG,1,2.149,100.0,2.149
18:10,2,SOL,YUKARI,0,0.825,50.0,2.149
18:10,3,ASAGI,SOL,0,0.757,33.3,2.149
18:10,4,ASAGI,ASAGI,1,1.605,50.0,1.877
18:10,5,SOL,YUKARI,0,0.700,40.0,1.877
18:10,6,SOL,SAG,0,2.754,33.3,1.877
18:10,7,SOL,SOL,1,1.207,42.9,1.654
18:10,8,YUKARI,YUKARI,1,0.715,50.0,1.419
18:10,9,ASAGI,ASAGI,1,0.800,55.6,1.295
18:10,10,SOL,SOL,1,0.762,60.0,1.206
18:10,11,SAG,SAG,1,0.757,63.6,1.142
18:10,12,YUKARI,YUKARI,1,1.178,66.7,1.147
18:10,13,SAG,SAG,1,1.380,69.2,1.173
18:10,14,ASAGI,ASAGI,1,0.732,71.4,1.129
18:10,15,YUKARI,YUKARI,1,0.702,73.3,1.090
18:10,16,SOL,SOL,1,0.607,75.0,1.049
18:10,17,SAG,SAG,1,0.493,76.5,1.007
18:10,18,YUKARI,YUKARI,1,0.525,77.8,0.972
18:10,19,ASAGI,ASAGI,1,0.413,78.9,0.935
18:10,20,YUKARI,YUKARI,1,0.494,80.0,0.907
18:11,1,YUKARI,YUKARI,1,10.348,100.0,10.348
18:11,2,SOL,SOL,1,1.404,100.0,5.876
18:11,3,SAG,SAG,1,0.731,100.0,4.161
18:11,4,YUKARI,YUKARI,1,0.508,100.0,3.248
18:11,5,SAG,ASAGI,0,0.797,80.0,3.248
18:11,6,YUKARI,SAG,0,0.420,66.7,3.248
18:11,7,ASAGI,YUKARI,0,0.344,57.1,3.248
18:13,1,YUKARI,YUKARI,1,7.370,100.0,7.370
18:13,2,SOL,SOL,1,0.543,100.0,3.956
18:13,3,YUKARI,YUKARI,1,0.599,100.0,2.837
18:13,4,ASAGI,SAG,0,0.442,75.0,2.837
18:13,5,YUKARI,ASAGI,0,0.351,60.0,2.837
18:13,6,SAG,SAG,1,0.604,66.7,2.279
18:13,7,SOL,ASAGI,0,0.540,57.1,2.279
18:13,8,SOL,SOL,1,0.206,62.5,1.864
18:13,9,ASAGI,ASAGI,1,1.430,66.7,1.792
18:13,10,SOL,SOL,1,0.513,70.0,1.609
18:13,11,ASAGI,ASAGI,1,0.649,72.7,1.489
18:13,12,YUKARI,YUKARI,1,0.621,75.0,1.393
18:13,13,ASAGI,ASAGI,1,0.748,76.9,1.328
18:13,14,YUKARI,YUKARI,1,0.700,78.6,1.271
18:13,15,ASAGI,ASAGI,1,0.642,80.0,1.219
18:13,16,SOL,SOL,1,0.582,81.2,1.170
18:13,17,ASAGI,YUKARI,0,0.478,76.5,1.170
18:13,18,SOL,SAG,0,0.302,72.2,1.170
18:13,19,YUKARI,YUKARI,1,0.795,73.7,1.143
18:13,20,SOL,SOL,1,1.219,75.0,1.148
